imgIndex,Detector,Descriptor,NumMatchBoxes,CameraTTC,LidarTTC,LidarDistance
1,Shitomasi,Brisk,6,14.0905,12.3137,8.004
2,Shitomasi,Brisk,11,12.8955,11.6706,7.936
3,Shitomasi,Brisk,8,13.4219,15.7721,7.886
4,Shitomasi,Brisk,11,12.3288,16.6787,7.839
5,Shitomasi,Brisk,9,12.6027,15.5779,7.789
6,Shitomasi,Brisk,10,13.4007,11.8831,7.724
7,Shitomasi,Brisk,9,12.8368,11.7831,7.659
8,Shitomasi,Brisk,9,13.5499,13.5768,7.603
9,Shitomasi,Brisk,8,11.4559,14.2453,7.55
10,Shitomasi,Brisk,9,13.4726,11.3394,7.484
11,Shitomasi,Brisk,8,11.2555,13.0298,7.427
12,Shitomasi,Brisk,7,11.7391,8.53605,7.341
13,Shitomasi,Brisk,9,11.713,9.95617,7.268
14,Shitomasi,Brisk,8,11.5273,9.72157,7.194
15,Shitomasi,Brisk,9,9.69872,8.16898,7.107
16,Shitomasi,Brisk,10,10.4612,10.3515,7.039
17,Shitomasi,Brisk,9,11.5139,9.16182,6.963
18,Shitomasi,Brisk,8,9.12792,8.82697,6.885
1,Shitomasi,Brief,6,14.0134,12.3137,8.004
2,Shitomasi,Brief,11,12.9876,11.6706,7.936
3,Shitomasi,Brief,8,11.6934,15.7721,7.886
4,Shitomasi,Brief,11,13.4067,16.6787,7.839
5,Shitomasi,Brief,9,12.2021,15.5779,7.789
6,Shitomasi,Brief,10,13.0816,11.8831,7.724
7,Shitomasi,Brief,9,17.5647,11.7831,7.659
8,Shitomasi,Brief,9,11.7723,13.5768,7.603
9,Shitomasi,Brief,8,11.3622,14.2453,7.55
10,Shitomasi,Brief,9,13.456,11.3394,7.484
11,Shitomasi,Brief,8,11.6463,13.0298,7.427
12,Shitomasi,Brief,7,11.567,8.53605,7.341
13,Shitomasi,Brief,9,11.6697,9.95617,7.268
14,Shitomasi,Brief,8,11.1083,9.72157,7.194
15,Shitomasi,Brief,9,11.3833,8.16898,7.107
16,Shitomasi,Brief,10,10.7084,10.3515,7.039
17,Shitomasi,Brief,9,11.5895,9.16182,6.963
18,Shitomasi,Brief,8,8.1132,8.82697,6.885
1,Shitomasi,Orb,6,13.6546,12.3137,8.004
2,Shitomasi,Orb,11,12.5196,11.6706,7.936
3,Shitomasi,Orb,8,11.2779,15.7721,7.886
4,Shitomasi,Orb,11,12.1046,16.6787,7.839
5,Shitomasi,Orb,9,12.3511,15.5779,7.789
6,Shitomasi,Orb,10,13.6257,11.8831,7.724
7,Shitomasi,Orb,9,12.0972,11.7831,7.659
8,Shitomasi,Orb,9,12.1848,13.5768,7.603
9,Shitomasi,Orb,8,11.3267,14.2453,7.55
10,Shitomasi,Orb,9,13.203,11.3394,7.484
11,Shitomasi,Orb,8,11.2199,13.0298,7.427
