Detector,Descriptor,AvNumKeyPoints,AvDetTime,AvSize,StdSize,AvDesTime,numMatchedKeyPoints
Shitomasi,Brisk,117,11.9,4,0,1.3,85
Shitomasi,Brief,117,10.6,4,0,0.7,104
Shitomasi,Orb,117,11.1,4,0,1,100
Shitomasi,Freak,117,9.2,4,0,30.2,85
Shitomasi,Sift,117,8.8,4,0,12,103
Harris,Brisk,24,7.3,6,0,0,15
Harris,Brief,24,7.3,6,0,0,19
Harris,Orb,24,7.4,6,0,0.1,18
Harris,Freak,24,7.2,6,0,29.6,16
Harris,Sift,24,7.7,6,0,11.4,18
Fast,Brisk,409,1.4,7,0,3,242
Fast,Brief,409,1,7,0,1,314
Fast,Orb,409,1.6,7,0,1.9,306
Fast,Freak,409,1.4,7,0,32.2,247
Fast,Sift,409,1.3,7,0,14.8,309
Brisk,Brisk,276,51.6,21.5091,15.2514,2.1,174
Brisk,Brief,276,52.7,21.5091,15.2514,0.5,189
Brisk,Orb,276,54,21.5091,15.2514,5.1,167
Brisk,Freak,276,51.8,21.5091,15.2514,31.3,169
Brisk,Sift,276,50.8,21.5091,15.2514,19.8,182
Orb,Brisk,116,6.2,55.7037,25.7498,1,83
Orb,Brief,116,6.2,55.7037,25.7498,0,60
Orb,Orb,116,6.8,55.7037,25.7498,4.8,84
Orb,Freak,116,6.2,55.7037,25.7498,29.6,46
Orb,Sift,116,6.5,55.7037,25.7498,24.6,84
Akaze,Brisk,167,47.2,7.18982,4.48281,1,135
Akaze,Brief,167,46,7.18982,4.48281,0,140
Akaze,Orb,167,45.9,7.18982,4.48281,2.8,131
Akaze,Freak,167,47.2,7.18982,4.48281,30.8,132
Akaze,Akaze,167,45.6,7.18982,4.48281,37.7,139
Akaze,Sift,167,47.1,7.18982,4.48281,16.8,141
Sift,Brisk,138,75.6,4.51804,6.38648,1.1,65
Sift,Brief,138,76.9,4.51804,6.38648,0,78
Sift,Freak,138,76.2,4.51804,6.38648,31.1,66
Sift,Sift,138,68.7,4.51804,6.38648,58.4,88
